taxa,3329_11-01-16,6100_12-27-16,1894_04-24-18,6070_08-30-17,6037_07-10-18,3660_09-20-16,5702_04-26-16,8118_02-09-16,1320_03-23-16,4489_11-17-15,4374_02-28-17,8186_11-22-16,6995_03-15-16,5338_08-04-17,0010_07-09-16,7786_11-08-16,7953_05-15-18,5287_10-19-16,4759_08-16-16,5913_01-24-17,4100_01-03-17,1203_01-23-17,4657_08-23-16,4582_05-23-17,9059_02-02-16,0963_05-23-17,1985_06-07-16,9591_03-14-17,1709_09-19-17,9120_02-09-16,8120_05-22-18,7768_08-15-17,3369_08-07-18,3898_12-27-16,8633_04-19-16,3227_08-15-17,3899_06-13-18,8507_05-03-16,2651_11-22-16,6753_10-30-18,4471_01-03-17,1593_09-12-17,7005_02-14-18,5975_07-18-17,5890_09-27-16,8012_12-09-15,9190_03-14-18,5160_07-19-16,6673_12-07-16,8344_05-02-17,9176_03-29-16,7551_11-02-16,3836_02-27-17,5432_01-27-16,2045_08-21-17,4954_11-23-16,3315_06-07-16,0354_01-10-17,0904_07-10-17,7660_05-01-18,4018_01-05-16,3321_03-08-16,3921_07-18-17,5600_07-10-17,0677_08-19-17,4546_04-26-16,9371_10-16-18,4913_03-07-17,3955_08-25-17,8158_04-12-16,3545_12-13-16,2409_08-02-16
Klebsiella,1854,846,622,704,7,501,2570,401,9957,45649,25876,30158,1435,109,14,1284,499,211,97,261310,24884,14164,8,408,80098,13,856,7336,1271,699,390,1367,411,8992,795,4964,249,551,34304,129,2034,311,941305,35905,4577,483,6167,23304,316,1616,11,221,2462,8742,1998,308,1624,172,124,444,254,201,265,63126,983,425,289,4908325,761,6966,55,726
Kluyvera,6,0,1,6,0,0,16,8,23,179,78,34,0,11,1,2,0,0,0,113,48,2,0,13,166,0,1,5,0,7,0,1,0,7,0,8,2,0,13,2,1,0,205,12,2,0,0,31,0,0,0,6,1,32,4,1,0,0,0,11,4,1,0,10,8,53,0,1242,0,4,0,1
Salmonella,107,8,60,126,9,75,218,146,1133,6740,3394,2707,215,204,4,0,39,7,38,2955,3463,88,4,339,13284,54,8,322,494,117,10,256,78,680,33,882,43,3,4246,54,42,151,3796,342,121,5,566,6217,98,129,5,491,470,337,65,86,66,41,291,735,72,40,69,955,205,136,97,20217,190,538,74,313
Shigella,18,4,10,15,1,6,3178,3,22905,67204,37636,34013,384,5,0,5,0,1,2,1018,26650,16,1,3,175072,14,2,4,9,2,29,7,7,8,8,7568,5,0,13363,31,1,5,3759,12,761,8,66,48464,3,2,1,4,14,130,7,76,5,24,2,33,119,1,3,13,6,4,3,18953,7,8,1,7
Buttiauxella,2,0,1,0,0,0,1,0,7,56,21,18,1,0,1,0,0,0,0,59,21,0,0,3,43,0,0,1,0,1,0,0,0,6,0,3,0,0,5,0,0,3,35,17,1,0,1,18,0,0,0,0,2,5,1,0,1,0,0,2,0,0,2,4,3,0,0,209,0,0,0,0
Leclercia,2,2,7,5,0,1,29,0,37,403,198,73,6,48,0,2,0,0,0,399,105,3,1,33,457,1,53,46,1,6,4,3,4,14,1,45,2,1,56,1,0,2,425,44,3,1,13,105,1,1,1,10,6,40,27,1,1,0,8,12,2,0,6,85,99,2,1,2685,12,35,0,1
Cedecea,0,1,4,1,0,0,7,0,25,267,116,42,3,1,0,0,1,0,0,558,69,0,0,11,246,0,50,16,2,1,1,2,4,23,0,29,1,1,24,4,0,0,223,47,4,2,2,42,0,0,0,6,7,30,44,1,2,4,0,4,0,1,9,14,28,2,2,1415,7,10,0,1
Trabulsiella,0,0,1,0,0,0,0,0,8,93,49,21,1,4,0,0,1,0,0,46,33,1,0,6,91,0,0,17,0,11,10,0,0,1,0,0,0,0,13,0,1,0,65,10,2,0,3,18,0,1,0,8,2,4,2,0,0,0,0,2,1,0,3,8,1,42,0,426,3,5,0,1
Yokenella,0,0,4,2,0,0,1,0,16,99,60,26,3,0,1,0,1,0,0,34,33,2,0,5,100,0,0,1,1,1,0,0,2,6,0,10,0,0,11,0,0,0,96,11,2,0,2,31,0,0,0,0,6,3,2,0,2,0,0,1,1,0,9,7,10,0,2,530,1,3,0,1
Raoultella,1,0,44,0,1,3,8,0,23,226,135,35,9,0,20,4,2,0,0,506,66,146,2,23,226,0,1,12,2,6,0,1,2,96,1,11,1,8,317,6,5,0,759,166,9,1,4,154,1,6,3,30,5,84,6,5,0,1,0,235,0,0,7,216,4,0,0,8259,1,18,0,158
Candidatus Riesia,1,0,13,13,0,2,0,0,0,2,2,0,30,0,0,0,1,0,0,2,1,2,0,1,0,0,3,12,0,0,0,0,0,2,0,1,1,0,0,2,5,0,3,8,6,0,0,1,0,0,0,1,0,1,0,0,0,2,0,1,0,2,0,2,0,6,0,6,0,0,0,0
